"team","team_zh","group","head_coach","head_coach_zh","assistant_coaches","assistant_status","fifa_rank_nov_2025","fifa_rank_june_2026","strength_rating","rating_basis","host"
"Mexico","墨西哥","A","Javier Aguirre","哈维尔·阿吉雷","Assistant coach: Rafael Márquez; Assistant coach: Toni Amor; Goalkeeping coach: Joseba Ituarte","secondary_source_requires_federation_confirmation","15","14","1853","fifa_rank_june_2026_monotonic_transform_v1","true"
"South Africa","南非","A","Hugo Broos","雨果·布罗斯","Assistant Coach: Helman Mkhalele; Goalkeeper Coach: Grant Johnson","secondary_source_requires_federation_confirmation","61","60","1508","fifa_rank_june_2026_monotonic_transform_v1","false"
"South Korea","韩国","A","Hong Myung-bo","洪明甫","Coaches: Kim Jin-kyu; Goalkeeping coach: Pedro Roma","secondary_source_requires_federation_confirmation","22","25","1770","fifa_rank_june_2026_monotonic_transform_v1","false"
"Czechia","捷克","A","Miroslav Koubek","米罗斯拉夫·库贝克","Assistant coach: Jan Rezek; Goalkeeping coach: Matúš Kozáčik","secondary_source_requires_federation_confirmation","44","40","1658","fifa_rank_june_2026_monotonic_transform_v1","false"
"Canada","加拿大","B","Jesse Marsch","杰西·马什","Assistant Coach: Mauro Biello; Assistant Coach: Ewan Sharp; Assistant Coach: Pierre Barrieu; Goalkeeper Coach: Paolo Ceccarelli","secondary_source_requires_federation_confirmation","27","30","1733","fifa_rank_june_2026_monotonic_transform_v1","true"
"Bosnia and Herzegovina","波斯尼亚和黑塞哥维那","B","Sergej Barbarez","谢尔盖·巴尔巴雷兹","Assistant coaches: Zlatan Bajramović; Goalkeeping coach: Kenan Hasagić","secondary_source_requires_federation_confirmation","71","64","1478","fifa_rank_june_2026_monotonic_transform_v1","false"
"Qatar","卡塔尔","B","Julen Lopetegui","朱伦·洛佩特吉","Assistant coach: Pablo Sanz","secondary_source_requires_federation_confirmation","51","56","1538","fifa_rank_june_2026_monotonic_transform_v1","false"
"Switzerland","瑞士","B","Murat Yakin","穆拉特·雅金","Assistant coach: Davide Callà; Goalkeeping coach: Patrick Foletti","secondary_source_requires_federation_confirmation","17","19","1815","fifa_rank_june_2026_monotonic_transform_v1","false"
"Brazil","巴西","C","Carlo Ancelotti","卡洛·安切洛蒂","Assistant coaches: Paul Clement; Goalkeeping coaches: Cláudio Taffarel","secondary_source_requires_federation_confirmation","5","6","1913","fifa_rank_june_2026_monotonic_transform_v1","false"
"Morocco","摩洛哥","C","Mohamed Ouahbi","穆罕默德·瓦赫比","Assistant coach(es): [ 82 ]","secondary_source_requires_federation_confirmation","11","7","1905","fifa_rank_june_2026_monotonic_transform_v1","false"
"Scotland","苏格兰","C","Steve Clarke","史蒂夫·克拉克","Assistant Coach: [ 155 ]; Assistant Coach: [ 156 ]; Goalkeeping Coach: [ 152 ]; Set Piece Coach: [ 156 ]","secondary_source_requires_federation_confirmation","36","42","1643","fifa_rank_june_2026_monotonic_transform_v1","false"
"Haiti","海地","C","Sébastien Migné","塞巴斯蒂安·米涅","Assistant coach: David Baltase; Assistant coach: Frantz Joséphine","secondary_source_requires_federation_confirmation","84","83","1350","fifa_rank_june_2026_monotonic_transform_v1","false"
"United States","美国","D","Mauricio Pochettino","毛里西奥·波切蒂诺","Assistant coach: Miguel D'Agostino; Assistant coach: Jesus Perez; Goalkeeping coach: Jack Robinson; Goalkeeping coach: Toni Jiménez; Technical coach: Gianni Vio","secondary_source_requires_federation_confirmation","14","17","1830","fifa_rank_june_2026_monotonic_transform_v1","true"
"Paraguay","巴拉圭","D","Gustavo Alfaro","古斯塔沃·阿尔法罗","Assistant coach: Carlos Gonzalez; Assistant coach: Claudio Cristofanelli; Fitness coach: Sergio Omar; Fitness coach: Pedro Ignacio; Goalkeeping coach: Diego Carranza","secondary_source_requires_federation_confirmation","39","41","1650","fifa_rank_june_2026_monotonic_transform_v1","false"
"Australia","澳大利亚","D","Tony Popovic","托尼·波波维奇","Assistant coaches: Mile Jedinak; Goalkeeping coach: Frank Juric","secondary_source_requires_federation_confirmation","26","27","1755","fifa_rank_june_2026_monotonic_transform_v1","false"
"Türkiye","土耳其","D","Vincenzo Montella","文琴佐·蒙特拉","Assistant coach(es): Daniele Russo; Goalkeeping coach(es): Ozan Özerkan; Fitness coach(es): Pierpaolo Polino","secondary_source_requires_federation_confirmation","25","22","1793","fifa_rank_june_2026_monotonic_transform_v1","false"
"Germany","德国","E","Julian Nagelsmann","尤利安·纳格尔斯曼","Assistant coach: Mads Buttgereit; Assistant coach: Benjamin Glück; Goalkeeping coach: Michael Fuchs; Goalkeeping coach: Andreas Kronenberg","secondary_source_requires_federation_confirmation","9","10","1883","fifa_rank_june_2026_monotonic_transform_v1","false"
"Curaçao","库拉索","E","Dick Advocaat","迪克·艾德沃卡特","Assistant coach: Cor Pot; Assistant coach: Giovanni Franken; Assistant coach: Dean Gorré; Performance coach: Angelo Cijntje","secondary_source_requires_federation_confirmation","82","82","1350","fifa_rank_june_2026_monotonic_transform_v1","false"
"Ecuador","厄瓜多尔","E","Sebastián Beccacece","塞巴斯蒂安·贝卡塞塞","Assistant coach: Guillermo Marino; Goalkeeper coach: Gustavo Campagnuolo","secondary_source_requires_federation_confirmation","23","23","1785","fifa_rank_june_2026_monotonic_transform_v1","false"
"Ivory Coast","科特迪瓦","E","Emerse Faé","埃梅尔斯·法埃","Assistant coaches: Alain Gouaméné; Goalkeeping coach: Gérard Gnanhouan","secondary_source_requires_federation_confirmation","42","33","1710","fifa_rank_june_2026_monotonic_transform_v1","false"
"Netherlands","荷兰","F","Ronald Koeman","罗纳德·科曼","Assistant coaches: Ruud van Nistelrooy; Goalkeeping coach: Patrick Lodewijks","secondary_source_requires_federation_confirmation","7","8","1898","fifa_rank_june_2026_monotonic_transform_v1","false"
"Japan","日本","F","Hajime Moriyasu","森保一","Assistant coaches: Shunsuke Nakamura; Goalkeeping coach: Takashi Shimoda","secondary_source_requires_federation_confirmation","18","18","1823","fifa_rank_june_2026_monotonic_transform_v1","false"
